rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
100,"spotify:track:1zsPaEkglFvxjAhrM8yhpr","Ozuna, Feid","Hey Mor","Aura Music Corp.",2,100,94,"113241"
101,"spotify:track:19CmuECYssqkPWANF4nLWM","La Mosca Tse-Tse","Para No Verte Más","EMI Argentina",74,104,69,"113180"
102,"spotify:track:1LiN0Z98FkR1t0m8KmLcAH","Anuel AA, Haze","Amanece","House of Haze",8,73,150,"112330"
103,"spotify:track:5clFSlfkCRlhnH1cAQjSBi","De La Ghetto, Randy","Sensacion Del Bloque","Capitol Latin",52,111,171,"112229"
104,"spotify:track:5N3hjp1WNayUPZrA8kJmJP","Sabrina Carpenter","Please Please Please","Island Records",37,64,7,"111684"
105,"spotify:track:1uKjQoh8JZj9ryuYRhpd7E","Luis Miguel","Ahora Te Puedes Marchar","WM Mexico",61,88,127,"111256"
106,"spotify:track:6lFM8kkmpffm0aq2gzEtEK","Aventura","Dile al Amor","Premium Latin Music",19,108,44,"110996"
107,"spotify:track:132ALUzVLmqYB4UsBj5qD6","Paulo Londra","Adan y Eva","WEA Latina",1,118,210,"110985"
108,"spotify:track:66iygyOSvvoQQsKJ1vEXfT","Franco De Vita","Tú de Qué Vas","Pop Music",101,101,3,"110692"
109,"spotify:track:1WH3iquIQXnSPwUzlROT8R","Manuel Turizo","Quiéreme Mientras Se Pueda","Sony Music Latin/La Industria",12,109,101,"109674"
110,"spotify:track:0KAqMRUSZwzG3dZLdDA4eH","Shakira","Antologia","Epic",95,110,13,"108313"
111,"spotify:track:4waqcUQWdj0yH26STWl2Rq","La Oreja de Van Gogh","Rosas","Columbia",27,161,73,"107288"
112,"spotify:track:2pIIRKRwWSi1Sb29VYLOOa","Morat","Debí Suponerlo","Universal Music Spain S.L.",50,183,58,"106856"
113,"spotify:track:1C84d9abZVKWHT2YYpoean","Luis R Conriquez, Neton Vega","Si No Quieres No","Kartel Music",67,105,11,"106808"
114,"spotify:track:77dMSg2VHi2wwXjXNrmcrZ","Paulo Londra, Lenny Tavárez","Nena Maldición (feat. Lenny Tavárez)","WEA Latina",6,142,225,"106513"
115,"spotify:track:7ABLbnD53cQK00mhcaOUVG","Myke Towers","LALA","WEA Latina",1,106,57,"106307"
116,"spotify:track:2UW7JaomAMuX9pZrjVpHAU","Yng Lvcas, Peso Pluma","La Bebe - Remix","WM Mexico",4,98,71,"105294"
117,"spotify:track:0LpEr3qpmDQ1gEabnsQlGC","Manuel Medrano","La Distancia","WM Mexico",108,125,6,"105073"
118,"spotify:track:2G74yhtIMW8tJY5I83dS4Z","Reyli Barba","Amor del Bueno","Pop Music",118,128,34,"104998"
119,"spotify:track:2LsbizbOeNa4x6qsi2jAMb","Jarabe De Palo","La flaca","Parlophone Spain",93,133,189,"103190"
120,"spotify:track:4skuEIloXWuxxgekKupkEH","Mon Laferte","Tu Falta De Querer","Universal Music Mexico",94,146,109,"102915"
121,"spotify:track:7FlQk2gJ6TBrHHiidvdR2O","Becky G, KAROL G","MAMIII","Kemosabe Records/RCA Records/Sony Music Latin",1,137,114,"102542"
122,"spotify:track:21nc3O8OncUv1jjSrC1ML2","Yiyo Sarante","Corazon de Acero","TranKYouTV",60,135,176,"101933"
123,"spotify:track:7hynhxDoDpgMIV12JuVtNa","J Balvin, Bad Bunny, Marciano Cantero","UN PESO","Universal Music Latino / Rimas",25,132,265,"101923"
124,"spotify:track:1agDCV4zQqaFwJQNsTgmL1","Jimin, Loco","Smeraldo Garden Marching Band (feat. Loco)","BIGHIT MUSIC",82,-1,2,"101514"
125,"spotify:track:2J9B63FawlTaPdg4eH5X03","Beéle","Loco","Hear This Music",15,156,74,"100979"
126,"spotify:track:0QMnlDSfdLaSaEVdgAtthL","DJ Lalo, Jøtta, Lil New","Melissa & Julissa","New School",99,126,10,"100715"
127,"spotify:track:35ttE4t8lQZA2vuCYDg4G7","Milo j","M.A.I","DALE PLAY Records",26,127,34,"100098"
128,"spotify:track:08pbRBstuvH7ArRxeb8fwT","Nanpa Básico, Beéle","Hasta Aquí Llegué","5020 Records",128,-1,1,"99193"
129,"spotify:track:0HDHY6RSHHG2ZTE0cMT4GJ","Aventura","Los Infieles","Premium Latin Music",26,107,21,"98732"
130,"spotify:track:7chTH3GBjjAyagf0SPCZDL","Blessd, Feid","SI SABE FERXXO","WEA Latina",12,124,26,"98272"
131,"spotify:track:56TE6fxZAcfQGcMVmezo7B","Tony Dize","El Doctorado","Pina Records",75,115,74,"98236"
132,"spotify:track:0cubEBmB9wjsdBwXNFmzFy","Morat, Feid","Salir Con Vida","Universal Music Spain S.L.",22,196,43,"98233"
133,"spotify:track:2WfaOiMkCvy7F5fcp2zZ8L","a-ha","Take on Me","Rhino",133,144,18,"97837"
